selected_lambda,box_size,avg_count,group
0.83,531.0,0.056,0
0.83,487.0,0.0792,0
0.83,379.0,0.2296,0
0.83,586.0,0.0416,0
0.83,515.0,0.0628,0
0.83,327.0,0.3604,0
0.83,417.0,0.1504,0
0.83,733.0,0.012,0
0.83,390.0,0.1932,0
0.83,238.0,0.8296,0
0.83,420.0,0.1356,0
0.83,437.0,0.13,0
0.83,604.0,0.0312,0
0.83,452.0,0.1192,0
0.83,618.0,0.024,0
0.83,245.0,0.778,0
0.83,529.0,0.0464,0
0.83,439.0,0.1328,0
0.83,393.0,0.18,0
0.83,662.0,0.0192,0
0.83,372.0,0.2308,0
0.83,380.0,0.1968,0
0.83,445.0,0.1088,0
0.83,389.0,0.2036,0
0.83,268.0,0.6308,0
0.83,540.0,0.0524,0
0.83,383.0,0.2204,0
0.83,608.0,0.0284,0
0.83,507.0,0.0776,0
0.83,317.0,0.3936,0
0.83,305.0,0.4384,0
0.83,425.0,0.1328,0
0.83,751.0,0.01,0
0.83,377.0,0.2,0
0.83,319.0,0.3748,0
0.83,603.0,0.0264,0
0.83,467.0,0.1048,0
0.83,632.0,0.0256,0
0.83,526.0,0.052,0
0.83,430.0,0.1336,0
0.83,303.0,0.4552,0
0.83,316.0,0.4148,0
0.83,391.0,0.1992,0
0.83,350.0,0.2776,0
0.83,658.0,0.0168,0
0.83,718.0,0.0096,0
0.83,355.0,0.2588,0
0.83,359.0,0.2516,0
0.83,271.0,0.6052,0
0.83,306.0,0.4204,0
0.83,301.0,0.436,0
0.83,353.0,0.2652,0
0.83,299.0,0.4616,0
0.83,547.0,0.05,0
0.83,622.0,0.0252,0
0.83,501.0,0.0596,0
0.83,845.0,0.0052,0
0.83,419.0,0.1392,0
0.83,363.0,0.2396,0
0.83,322.0,0.3784,0
0.83,588.0,0.0352,0
0.83,630.0,0.0284,0
0.83,504.0,0.0624,0
0.83,426.0,0.1412,0
0.83,584.0,0.0364,0
0.83,656.0,0.02,0
0.83,790.0,0.0048,0
0.83,397.0,0.1744,0
0.83,345.0,0.2756,0
0.83,315.0,0.4068,0
0.83,298.0,0.4716,0
0.83,333.0,0.2944,0
0.83,554.0,0.04,0
0.83,486.0,0.096,0
0.83,835.0,0.0052,0
0.83,464.0,0.0972,0
0.83,582.0,0.0396,0
0.83,651.0,0.0204,0
0.83,520.0,0.062,0
0.83,370.0,0.212,0
0.83,388.0,0.1932,0
0.83,645.0,0.0192,0
0.83,786.0,0.0076,0
0.83,381.0,0.2132,0
0.83,395.0,0.1848,0
0.83,334.0,0.3296,0
0.83,410.0,0.164,0
0.83,744.0,0.0108,0
0.83,591.0,0.0352,0
0.83,489.0,0.0948,0
0.83,891.0,0.0036,0
0.83,412.0,0.1528,0
0.83,460.0,0.1052,0
0.83,382.0,0.2108,0
0.83,449.0,0.1176,0
0.83,657.0,0.0168,0
0.83,378.0,0.2156,0
0.83,361.0,0.256,0
0.83,337.0,0.3184,0
0.83,802.0,0.0048,0
0.83,344.0,0.28,0
0.83,590.0,0.0332,0
0.83,323.0,0.3508,0
0.83,473.0,0.0876,0
0.83,919.0,0.002,0
0.83,422.0,0.1576,0
0.83,366.0,0.2272,0
0.83,610.0,0.0264,0
0.83,628.0,0.0216,0
0.83,821.0,0.006,0
0.83,777.0,0.008,0
0.83,331.0,0.306,0
0.83,757.0,0.0064,0
0.83,774.0,0.0076,0
0.83,905.0,0.0032,0
0.83,346.0,0.2936,0
0.83,357.0,0.246,0
0.83,592.0,0.0308,0
0.83,399.0,0.1836,0
0.83,300.0,0.444,0
0.83,696.0,0.0128,0
0.83,440.0,0.1196,0
0.83,742.0,0.008,0
0.83,488.0,0.0884,0
0.83,428.0,0.138,0
0.83,560.0,0.044,0
0.83,364.0,0.2356,0
0.83,723.0,0.0092,0
0.83,596.0,0.0364,0
0.83,918.0,0.0028,0
0.83,571.0,0.0436,0
0.83,492.0,0.0816,0
0.83,435.0,0.1384,0
0.83,698.0,0.016,0
0.83,434.0,0.1388,0
0.83,497.0,0.0804,0
0.83,739.0,0.0088,0
0.83,511.0,0.0672,0
0.83,481.0,0.0948,0
0.83,761.0,0.0084,0
0.83,513.0,0.06,0
0.83,575.0,0.0336,0
0.83,910.0,0.004,0
0.83,296.0,0.4804,0
0.83,500.0,0.0668,0
0.83,510.0,0.0664,0
0.83,605.0,0.0296,0
0.83,700.0,0.0176,0
0.83,726.0,0.0104,0
0.83,509.0,0.066,0
0.83,455.0,0.0968,0
0.83,493.0,0.0784,0
0.83,589.0,0.0384,0
0.83,736.0,0.0076,0
0.83,484.0,0.082,0
0.83,653.0,0.018,0
0.83,516.0,0.0712,0
0.83,403.0,0.1788,0
0.83,631.0,0.0232,0
0.83,505.0,0.0588,0
0.83,522.0,0.066,0
0.83,371.0,0.2372,0
0.83,539.0,0.0484,0
0.83,754.0,0.0096,0
0.83,461.0,0.1008,0
0.83,480.0,0.092,0
0.83,506.0,0.0676,0
0.83,405.0,0.1604,0
0.83,463.0,0.1008,0
0.83,459.0,0.1016,0
0.83,565.0,0.038,0
0.83,339.0,0.3128,0
0.83,682.0,0.0148,0
0.83,545.0,0.042,0
0.83,524.0,0.0588,0
0.83,911.0,0.0028,0
0.83,559.0,0.048,0
0.83,579.0,0.0364,0
0.83,474.0,0.0884,0
0.83,471.0,0.0864,0
0.83,570.0,0.0368,0
0.83,448.0,0.1084,0
0.83,677.0,0.0104,0
0.83,782.0,0.0096,0
0.83,503.0,0.0652,0
0.83,325.0,0.3628,0
0.83,886.0,0.0044,0
0.83,558.0,0.0412,0
0.83,561.0,0.0384,0
0.83,441.0,0.1208,0
0.83,668.0,0.0164,0
0.83,429.0,0.1328,0
0.83,781.0,0.0072,0
0.83,880.0,0.0044,0
0.83,562.0,0.0424,0
0.83,502.0,0.068,0
0.83,416.0,0.1544,0
0.83,457.0,0.1024,0
0.83,468.0,0.1004,0
0.83,432.0,0.1444,0
0.83,661.0,0.0204,0
0.83,771.0,0.008,0
0.83,552.0,0.04,0
0.83,521.0,0.0656,0
0.83,418.0,0.154,0
0.83,855.0,0.0048,0
0.83,563.0,0.0408,0
0.83,1298.0,0.0004,0
0.83,491.0,0.088,0
0.83,527.0,0.052,0
0.83,495.0,0.0876,0
0.83,695.0,0.0128,0
0.83,760.0,0.01,0
0.83,542.0,0.0592,0
0.83,574.0,0.0468,0
0.83,485.0,0.088,0
0.83,433.0,0.1204,0
0.83,483.0,0.0884,0
0.83,729.0,0.01,0
0.83,482.0,0.0872,0
